target_id,title,author,year,candidate_count,decision,selected_qid,alternative_qids,confidence,issue_codes,reason,resolution_stage,decision_source,model,prompt_sha256,context_safe_fallback
OL10356096W,La femme et le pantin,Pierre Louÿs,1898,11,MATCH,Q1983935,[],high,[],"Q1983935 is the work-level literary item for Pierre Louÿs's novel, with the exact French title 'La Femme et le Pantin' and publication year 1898. The other exact-title candidates are films or a disambiguation page.",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL11016717W,Lamb in his bosom,Caroline Pafford Miller,1933,1,MATCH,Q6449891,[],high,[],"Q6449891 is a work-level literary item titled ""Lamb in His Bosom,"" explicitly identified as a 1933 novel by Caroline Pafford Miller, matching the target title, author, and year.",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL1103740W,Dead Ned,John Masefield,1938,9,MATCH,Q134986734,[],high,[],"Q134986734 has the exact title ""Dead Ned,"" identifies John Masefield as author, and is explicitly a work-level literary work (novel).",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL1253281W,Lord Tony's Wife,"Orczy, Emmuska Orczy",1917,10,MATCH,Q16160725,[],high,[],"Q16160725 is a work-level literary item with the exact title, matching 1917 publication year, and author Emma Orczy, an alias-compatible form of the target author.",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL1337091W,Three Men and a Maid,P. G. Wodehouse,1922,11,MATCH,Q7736607,[],high,"[""title_variant""]","Q7736607 is the work-level novel by P. G. Wodehouse and explicitly has the alias ""Three Men and a Maid,"" matching the target title.",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL1337117W,Ukridge,P. G. Wodehouse,1924,10,MATCH,Q7878587,[],high,[],"Q7878587 exactly matches the target title, author P. G. Wodehouse, and 1924 publication context, and is explicitly identified as the work-level short story collection.",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL1527021W,The search for the silver city,"Otis, James",1893,4,MATCH,Q133544927,[],high,[],"Exact title and 1893 literary-work match; the candidate identifies James Otis as James Otis Kaler, consistent with the target's catalog-style author form.",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL157650W,El capitán Veneno,Pedro Antonio de Alarcón,1894,8,MATCH,Q26269804,[],high,[],"Q26269804 is a work-level literary item explicitly titled ""El Capitán Veneno"" and authored by Pedro Antonio de Alarcón, matching the target. The film candidate is a derivative adaptation and is excluded.",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL1719790W,By the Shores of Silver Lake,"Wilder, Laura Ingalls",1924,9,MATCH,Q3427960,[],high,[],Q3427960 is a work-level item with the exact title and author Laura Ingalls Wilder. Its 1939 publication date is consistent with the known publication of the novel; the target year appears to be a metadata discrepancy.,llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
OL17694368W,Stronghand,"Aimard, Gustave",1887,7,MATCH,Q124086740,[],high,[],"The candidate is a work-level literary item titled Stronghand: or, The Noble Revenge by Gustave Aimard. The target's 1887 date is consistent with a later edition of the candidate's 1863 novel.",llm_judge,gpt-5.6-luna_v6,gpt-5.6-luna,f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da,False
