target_id	title	author	year	candidate_count	decision	selected_qid	alternative_qids	confidence	issue_codes	reason	resolution_stage	decision_source	model	prompt_sha256	context_safe_fallback
OL10356096W	La femme et le pantin	Pierre Louÿs	1898	11	MATCH	Q1983935	[]	high	[]	Q1983935 is the work-level literary item for Pierre Louÿs's novel, with the exact French title 'La Femme et le Pantin' and publication year 1898. The other exact-title candidates are films or a disambiguation page.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL11016717W	Lamb in his bosom	Caroline Pafford Miller	1933	1	MATCH	Q6449891	[]	high	[]	"Q6449891 is a work-level literary item titled ""Lamb in His Bosom,"" explicitly identified as a 1933 novel by Caroline Pafford Miller, matching the target title, author, and year."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL11020633W	The story-tellers art	Charity Dye	1898	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL1103740W	Dead Ned	John Masefield	1938	9	MATCH	Q134986734	[]	high	[]	"Q134986734 has the exact title ""Dead Ned,"" identifies John Masefield as author, and is explicitly a work-level literary work (novel)."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL11478921W	Jack's insects	Edmund Selous	1910	6	NO_MATCH		[]	high	"[""wrong_work""]"	The only exact-title candidate, Q64327835, is a scholarly article with no stated author, not Edmund Selous's literary work. The remaining candidates have unrelated titles and do not represent the target.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1169453W	Queens of the circulating library	Felix Alan Walbank	1950	1	NO_MATCH		[]	high	"[""wrong_work""]"	Q7270836 is an album by Coil published in 2000, not the 1950 literary work by Felix Alan Walbank. No suitable work-level candidate is supplied.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1185375W	They call it patriotism	Bruno Brehm	1932	1	NO_MATCH		[]	high	"[""edition_without_work_item"", ""edition_or_translation""]"	"The only candidate is a 1935 Czech edition titled ""Ani císař, ani král"" (not a work-level item), and no P629 parent links it to the target work ""They call it patriotism."""	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL12141196W	Swamp water	Vereen Bell	1941	1	NO_MATCH		[]	high	"[""adaptation"", ""wrong_work""]"	The sole candidate is the 1941 film Swamp Water, not Vereen Bell's literary work. No work-level item for the target novel is supplied.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL12247206W	Bright days in the old plantation time	Mary Rose Banks	1882	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL12313613W	On wings of destiny	Victoria Lopez de Araneta	1940	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL1253281W	Lord Tony's Wife	Orczy, Emmuska Orczy	1917	10	MATCH	Q16160725	[]	high	[]	Q16160725 is a work-level literary item with the exact title, matching 1917 publication year, and author Emma Orczy, an alias-compatible form of the target author.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
