evaluation_id	target_work	openalex_id	record_title	human_label	llm_label	human_binary	llm_binary	binary_correct	exact_label_correct	human_note	llm_reason
OA-F1-001	The Great Gatsby	W4253135736	The Great Gatsby	include_substantive	include_substantive	include	include	True	True	Scholarly book explicitly devoted to critical discussion of The Great Gatsby.	Record is a scholarly secondary source (part of 'The Critics Debate' series) that discusses and critiques The Great Gatsby, indicating substantive analysis of the work.
OA-F1-002	Ulysses	W2802518903	Beckett, Lewis, Joyce: Reading Dream of Fair to Middling Women through The Apes of God and Ulysses	include_substantive	include_substantive	include	include	True	True	Book-chapter title clearly signals comparative literary analysis involving Ulysses.	Scholarly book chapter that explicitly reads one work ‘through’ Ulysses, indicating substantive interpretive engagement with Joyce's novel.
OA-F1-003	Ulysses	W4210656604	Preliminary Material	exclude_non_scholarly	include_substantive	exclude	include	False	False	The record is preliminary/front matter; the abstract describes the parent volume rather than a substantive secondary-study item.	Scholarly secondary-source (genetic-criticism volume) that makes substantive claims about Joyce texts, explicitly treating the genetic relationship between Giacomo Joyce and Ulysses and the genesis of the 'Penelope' episode.
OA-F1-004	Ulysses	W59385706	The Loss of Roses: Mother-Daughter Myth and Relationships between Women in Mrs. Dalloway	include_substantive	include_mention	include	include	True	False	The full abstract substantively discusses whether Woolf's mythic method in Mrs. Dalloway was influenced by Ulysses and compares her practice with Joyce's.	Scholarly article on Virginia Woolf's Mrs. Dalloway that only mentions Ulysses as a comparison regarding Homeric similes and influence; no substantive analysis of Joyce's work is presented in the abstract.
OA-F1-005	The Great Gatsby	W3088711117	The Black Skyscraper [Book Review]	include_mention	include_substantive	include	include	True	False	Scholarly book review briefly invokes The Great Gatsby as one example in a broader discussion of architecture, race, and visual perception.	Academic book review that reports the author's close readings and rereading of classic texts, explicitly reexamining F. Scott Fitzgerald’s The Great Gatsby—indicating substantive analysis of the work.
OA-F1-006	The job	W6993910506	vol19no4 78	exclude_unrelated	exclude_unrelated	exclude	exclude	True	True	Military alumni and personal updates; 'the job' and names such as Fitzgerald occur only as ordinary words or surnames.	The record is a class/newsletter-style army alumni update about personnel, births, assignments and unit activities, not a scholarly secondary source discussing Sinclair Lewis or The Job.
OA-F1-007	The job	W238913031	Attitudes towards Benefits among SME Owners in Western Europe: An 18-Month Study	exclude_unrelated	exclude_unrelated	exclude	exclude	True	True	Business-management study using job-related vocabulary and a Lewis citation; unrelated to Sinclair Lewis's novel.	The record is an empirical business/entrepreneurship study about SME owners' attitudes toward benefits and contains no scholarly discussion of Sinclair Lewis's novel The Job or any literary analysis.
OA-F1-008	The Great Gatsby	W1503797969	Film Production Design: Case Study of The Great Gatsby	include_substantive	include_substantive	include	include	True	True	Substantive analysis of the film adaptation's production design, characters, period style, and relation to the novel's themes.	Scholarly article that applies analysis to Baz Luhrmann’s 2013 film and makes substantive claims about how production design conveys the novel’s themes and period—i.e., interprets the target work via its adaptation.
OA-F1-009	Heart of Darkness	W2560108720	Disobedient geographies and subaltern cultures	include_substantive	include_substantive	include	include	True	True	The full abstract explicitly uses Heart of Darkness among the texts through which it evaluates postcolonial and decolonial critical paradigms.	Genuine scholarly secondary source that explicitly analyzes Conrad’s Heart of Darkness as one of the written texts used to argue about postcolonial/decolonial paradigms, indicating substantive engagement with the work.
OA-F1-010	The Great Gatsby	W2355864927	A Piece of Grotesque and Gaudy Paint ——The Use of Color Image in Scott Fitzgerald“The Great Gatsby”	include_substantive	include_substantive	include	include	True	True	Explicit analysis of color imagery, characterization, plot, modernist style, and the American Dream in The Great Gatsby.	Scholarly article that analyzes Fitzgerald's use of color imagery in The Great Gatsby and makes substantive claims about characterisation, plot development, theme (the American Dream), and modernist style.
OA-F1-011	Ulysses	W2486765517	At a Party with James Joyce	exclude_non_scholarly	include_substantive	exclude	include	False	False	Personal recollection of Joyce, Sylvia Beach, and the publication of Ulysses rather than scholarly secondary analysis.	The book-chapter is a scholarly secondary source that makes a historical/ reception claim about Ulysses (its publication by Sylvia Beach and the role of Shakespeare and Co.), which is a substantive positioning of the work.
OA-F1-012	Heart of Darkness	W2135652277	The Shape of Fear: Horror and the fin de Siècle Culture of Decadence by Susan J. Navarette (review)	include_substantive	include_substantive	include	include	True	True	Scholarly review gives a substantive account of the reviewed book's argument about language, cultural decline, and textual disruption in Heart of Darkness.	This is a scholarly book review that reports the author’s substantive analysis of Conrad’s Heart of Darkness as one of the key texts; the abstract describes how Heart of Darkness is discussed in relation to language/textual disruption and cultural decline.
