work_key	work_title	work_author	total_candidates	sampling_method	sampling_seed	sampled_n	include_substantive_n	include_mention_n	broad_visibility_include_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	error_n	broad_visibility_rate_among_decided	model	prompt_version
/works/OL82911W	A Fable	William Faulkner	61	uniform_reservoir_sampling	20260713	40	19	2	21	6	8	5	0	0.600	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL1190289W	À la recherche du temps perdu	Proust, Marcel	748	uniform_reservoir_sampling	20260713	40	29	0	29	9	2	0	0	0.725	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL38989822W	A portrait of the artist as a young man	Joyce, James	509	uniform_reservoir_sampling	20260713	40	24	1	25	12	2	1	0	0.641	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL88813W	A Room with a View	E. M. Forster	85	uniform_reservoir_sampling	20260713	40	31	0	31	5	3	1	0	0.795	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL262496W	A Study in Scarlet	Doyle, Arthur Conan	48	uniform_reservoir_sampling	20260713	40	20	8	28	8	2	2	0	0.737	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL82928W	Absalom, Absalom!	William Faulkner	379	uniform_reservoir_sampling	20260713	40	32	3	35	4	1	0	0	0.875	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL18448451W	Aesop's fables	Aesop.	362	uniform_reservoir_sampling	20260713	40	16	3	19	18	3	0	0	0.475	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL1487721W	Alas!	Rhoda Broughton	1	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL12781W	Alexander's Bridge	Willa Cather	32	uniform_reservoir_sampling	20260713	32	16	1	17	12	1	2	0	0.567	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL1336767W	Arnold	Arnold, Matthew	34536	uniform_reservoir_sampling	20260713	40	1	0	1	8	30	1	0	0.026	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL82929W	As I Lay Dying	William Faulkner	285	uniform_reservoir_sampling	20260713	40	28	2	30	6	3	1	0	0.769	gpt-5-mini	literary_visibility_v4_final_20260818
/works/OL65437W	At Fault	Kate Chopin	13	uniform_reservoir_sampling	20260713	13	7	3	10	2	1	0	0	0.769	gpt-5-mini	literary_visibility_v4_final_20260818
