filename	page_num	fn_num	fn_text
Ablow 2025.pdf	1	1	SeeHarrietMartineau,TheHourandtheMan:AHistoricalRomance(NewYork,1856), p.34;hereafterabbreviatedH. CriticalInquiry,volume51,number3,Spring2025. ©2025TheUniversityofChicago.Allrightsreserved.PublishedbyTheUniversityofChicagoPress.https://doi.org/10.1086/734120
Ablow 2025.pdf	3	6	"ThisiseffectivelytheconclusionoftheonlycriticIhavebeenabletofindwhoidentifies Toussaintasthebaby'skiller;seeRobertDingley,""Monuments,MaidensandBlackJacobins: NarrativeDisplacementinHarrietMartineau'sTheHourandtheMan,""Nineteenth-Century Feminisms6(Fall/Winter2002):"
Ablow 2025.pdf	3	7	SeeCallanan,DecipheringRace,p.28,andRoberts,TheWomanandtheHour,p.102.
Ablow 2025.pdf	4	9	"Idiscussrevengeatlengthinthisessay,buttragedydeservesawordaswell.Inhisimpor- tantreadingofC.L.R.James,DavidScottclaimsthat,forJames,theideaoftragedyhelpsus seethroughwhatScottfollowsBernardYackindescribingasapoliticallylimiting""longingfor totalrevolution""(DavidScott,ConscriptsofModernity:TheTragedyofColonialEnlightenment [Durham,N.C.,2004],p.6).ThisessayseesMartineau'snovelasbothboundupwithand"
Ablow 2025.pdf	5	13	"SeeCarolynE.Fick,""TheFrenchRevolutioninSaintDomingue:ATriumphoraFail- ure?""inATurbulentTime:TheFrenchRevolutionandtheGreaterCaribbean,ed.DavidBarry GasparandDavidPatrickGeggus(Indianapolis,1997),pp.51–75.IntheappendixtoTheHour andtheMan,Martineauemphasizesherrelianceon[JohnBurrow],""PastandPresentStateof Hayti,""QuarterlyReview21,no.42(1819):430–60,andMarcusRainsford'sextremelygraphic AnHistoricalAccountoftheBlackEmpireofHayti,ed.PaulYoungquistandGregoryPierrot (1805;Durham,N.C.,2013)."
Ablow 2025.pdf	6	14	"Kaplan,""BlackHeroes/WhiteWriters,""p."
Ablow 2025.pdf	6	15	Seeibid.,andColinDayan,Haiti,History,andtheGods(Berkeley,1995).
Ablow 2025.pdf	6	16	James,TheBlackJacobins,pp.11–
Ablow 2025.pdf	6	17	"SeeFick,""TheFrenchRevolutioninSaintDomingue,""p.55,andJames,TheBlackJaco- bins,p."
Ablow 2025.pdf	6	18	MarleneL.Daut,TropicsofHaiti:RaceandtheLiteraryHistoryoftheHaitianRevolution intheAtlanticWorld,1789–1865(Liverpool,2015),p.4.
Ablow 2025.pdf	7	23	Thehistoryhereiscomplicated,butinMartineau'sslightlycondensedversion,many plantationownerssawintheFrenchRevolutionanopportunitytogaintheirindependence. SpaintookthesideoftheFrenchmonarchy,asdidsomeoftheformerlyenslaved,whore- gardedthekingasanallyagainsttheirenslavers.Martineaulargelyleavesouttheinvolvement oftheBritish.Foradiscussionofthisomission,seeCallahan,DecipheringRace,p.26.
Ablow 2025.pdf	8	24	"Dingley,""Monuments,MaidensandBlackJacobins""p.12."
Ablow 2025.pdf	10	25	QuotedinMichel-RolphTrouillot,SilencingthePast:PowerandtheProductionofHis- tory(Boston,1995),p.85.RaynalmadethispredictioninhisHistoiredesdeuxIndes(1770).
Ablow 2025.pdf	12	26	James,TheBlackJacobins,p.
Ablow 2025.pdf	12	27	SeeJ.N.Léger,Haiti:HerHistoryandHerDetractors(NewYork,1907),pp.152–92.
Ablow 2025.pdf	13	30	"StanleyCavell,""TheAvoidanceofLove:AReadingofKingLear,""inMustWeMean WhatWeSay?ABookofEssays(NewYork,1976),p.348.Cavelldiscussesthespecificityofone's responsibilitiesinthecontextofthetherapeuticworkheassignstotragedyinthemodernage: Tragedyneedstoshowusthat""eventsarestillspecific,thatguiltwillalteritselforpuffitself outofshape,inordertodenydebtforthespecificdeedforwhichoneisresponsible...that ateverymomentthereisapresentpassingmebyandthatthereasonitpassesmebyisthe oldreason,thatIamnotpresenttoit""(ibid.)."
Ablow 2025.pdf	14	31	SaidiyaHartmanprovidesanimportantandpowerfulindictmentoftheuseofsenti- mentalityinabolitionistrhetoric;seeSaidiyaV.Hartman,ScenesofSubjection:Terror,Slavery, andSelf-MakinginNineteenth-CenturyAmerica(NewYork,1997).SeealsoRameshMallipeddi, SpectacularSuffering:WitnessingSlaveryintheEighteenth-CenturyBritishAtlantic(Charlottes- ville,Va.,2016),andTheCultureofSentiment:Race,Gender,andSentimentalityinNineteenth- CenturyAmerica,ed.ShirleySamuels(NewYork,1992).
