journal	year	title	dh_terms	dh_term_occurrences	review_priority	review_candidate_reason	duplicate_count	work_id	doi	manual_class	manual_note
Critical Inquiry	2009	Postdisciplinary Liaisons: Science Studies and the Humanities	digital humanities	2	duplicate		2	https://openalex.org/W2079964902	https://doi.org/10.1086/599586		
Critical Inquiry	2009	Postdisciplinary Liaisons: Science Studies and the Humanities	digital humanities	2	duplicate		2	https://openalex.org/W3149740081	https://doi.org/10.2307/25599401		
Critical Inquiry	2019	The Computational Case against Computational Literary Studies	computational literary studies	1	ordinary_hit		1	https://openalex.org/W2921304755	https://doi.org/10.1086/702594		
Critical Inquiry	2020	Romantic Disciplinarity and the Rise of the Algorithm	digital humanities	1	ordinary_hit		1	https://openalex.org/W3037443619	https://doi.org/10.1086/709225		
Critical Inquiry	2023	#COVID, Crisis, and the Search for Story in the Platform Age	distant reading	1	ordinary_hit		1	https://openalex.org/W4380079432	https://doi.org/10.1086/725059		
Critical Inquiry	2023	What’s the Matter with Computational Literary Studies?	computational literary studies	2	ordinary_hit		1	https://openalex.org/W4380084764	https://doi.org/10.1086/724943		
Critical Inquiry	2025	The Four-Color Theorem and the Aesthetics of Computational Proof	digital humanities	1	ordinary_hit		1	https://openalex.org/W4407895836	https://doi.org/10.1086/734121		
Modernism/modernity	2018	The Weak Powers of Digital Modernist Studies	distant reading	1	ordinary_hit		1	https://openalex.org/W2893147988	https://doi.org/10.1353/mod.2018.0040		
Modernism/modernity	2023	Mosaic Fictions: Writing Identity in the Spanish Civil War by Emily Robbins Sharpe (review)	digital humanities	1	review_candidate	review_marker	1	https://openalex.org/W4392255987	https://doi.org/10.1353/mod.2023.a920263		
New Literary History	2013	How the French Read	distant reading	1	ordinary_hit		1	https://openalex.org/W2051427077	https://doi.org/10.1353/nlh.2013.0014		
New Literary History	2014	Introduction	distant reading	1	ordinary_hit		1	https://openalex.org/W4230663727	https://doi.org/10.1353/nlh.2014.0015		
New Literary History	2015	Statistical Analysis at the Birth of Close Reading	digital humanities; distant reading	3	ordinary_hit		1	https://openalex.org/W2175952335	https://doi.org/10.1353/nlh.2015.0023		
New Literary History	2015	The Bechdel Test and the Social Form of Character Networks	digital humanities	1	ordinary_hit		1	https://openalex.org/W2174414172	https://doi.org/10.1353/nlh.2015.0024		
New Literary History	2016	Latour, the Digital Humanities, and the Divided Kingdom of Knowledge	digital humanities	1	ordinary_hit		1	https://openalex.org/W2522286634	https://doi.org/10.1353/nlh.2016.0018		
