work_title	work_author	openalex_id	openalex_url	scholarly_title	publication_year	work_type	language	openalex_topic	match_evidence	abstract_excerpt	llm_visibility_label	final_visibility_label	broad_visibility_include	final_reason	review_status	review_note	model	prompt_version
Heart of Darkness	Conrad, Joseph	W3135605692	https://openalex.org/W3135605692	Movement, Gesture, and Space in Heart of Darkness and Lord Jim	2017	article	en	Joseph Conrad and Literature	title_and_abstract	Phenomenological criticism has recently enabled readings of Conrad that consider more closely the writer's reference to the physical body in the text. This essay adds to discussions of Conrad's visual and epistemological strategies the exploration of physical presence, gesture, and movement. By reading Conrad's use of individual gesture and passages of movement in Heart of Darkness and Lord Jim in the context of contemporary innovations in theatrical dance in the period, the essay examines how…	include_substantive	include_substantive	1	Scholarly article offering substantive literary analysis of Heart of Darkness (alongside Lord Jim), interpreting gesture, movement, and spatialization in the text.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Heart of Darkness	Conrad, Joseph	W2605658168	https://openalex.org/W2605658168	Foreshadows and Symbols in The Brussels Company’s Main Office in Joseph Conrad’s Heart of Darkness	2012	article	en	Joseph Conrad and Literature	title_and_abstract	Joseph Conrad’s Heart of Darkness unveils a story about a journey to the inner self to find the mysteries of human mind. The way the writer presents his story is very intriguing in that he makes of use of many foreshadows and symbols. This paper attempts to examine the foreshadows and symbols which Conrad uses in this novella; however, the discussion is limited to the ones that appear in The Brussels Company’s Main Office. DOI: https://doi.org/10.24071/llt.2012.150202	include_substantive	include_substantive	1	Scholarly article that directly analyzes foreshadows and symbols in Joseph Conrad’s Heart of Darkness (focused on the Brussels Company’s Main Office), i.e. substantive literary interpretation of the target work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Heart of Darkness	Conrad, Joseph	W409600339	https://openalex.org/W409600339	Conrad's Heart of darkness : a reader's guide	2007	book	en	Joseph Conrad and Literature	title_and_abstract	1. Contexts 2. Language, Style and Form 3. Reading Heart of Darkness 4. Critical Reception and Publishing History 5. Adaptation, interpretation and influence 6. Guide to Further Reading Index.	include_substantive	include_substantive	1	Scholarly secondary source that offers substantive analysis and contextualization of the work (reader’s guide covering contexts, language, reading, critical reception, adaptation and interpretation).	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Heart of Darkness	Conrad, Joseph	W46271821	https://openalex.org/W46271821	"""Heart of darkness"": dall'impressionismo narrativo di Joseph Conrad alle trasposizioni di Orson Welles"	2009	article	it	Joseph Conrad and Literature	title_only		include_substantive	include_substantive	1	Scholarly article explicitly analyzing Heart of Darkness (narrative impressionism) and its adaptations—indicates substantive interpretation and discussion of the work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Heart of Darkness	Conrad, Joseph	W3033677309	https://openalex.org/W3033677309	A Study of Racism and Exploitation in Conrad’s Heart of Darkness	2019	article	en	Joseph Conrad and Literature	title_only		include_substantive	include_substantive	1	Title and metadata indicate a scholarly article offering analysis of Heart of Darkness (racism and exploitation), i.e., substantive secondary scholarship on the target work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Heart of Darkness	Conrad, Joseph	W1509729831	https://openalex.org/W1509729831	<i>The Evolutionary Imagination in Late-Victorian Novels: An Entangled Bank</i>, by John Glendening	2008	article	en	Gothic Literature and Media Analysis	abstract_only	Reviewed by: The Evolutionary Imagination in Late-Victorian Novels: An Entangled Bank Jonathan Smith (bio) The Evolutionary Imagination in Late-Victorian Novels: An Entangled Bank, by John Glendening; pp. 225. Aldershot and Burlington: Ashgate, 2007, £55.00, $99.95. In this examination of evolutionary ideas in British fiction of the 1890s, John Glendening traces the imagery and thematics of entanglement. He argues that late-century novelists repeatedly resist and revise Charles Darwin’s famous…	include_substantive	include_substantive	1	Scholarly secondary source (a review of Glendening’s scholarly book) that explicitly analyzes and makes interpretive claims about Heart of Darkness as one of the primary novels discussed.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Heart of Darkness	Conrad, Joseph	W2501226940	https://openalex.org/W2501226940	Holroyd’s Man	2010	book-chapter	en	Medical and Biological Sciences	abstract_only	Joseph Conrad's fictions have been at the frontlines of debates about the status and role of British stories about empire. Famously, critics have argued about Conrad's sublimation of imperialism into a realm of ideals, especially in Heart of Darkness. While this old chestnut usually circulates around questions of Conrad's own beliefs, less attention has been devoted to Conrad's portraiture of how the preservation of cultural value depends on fiction-making, and even upon a willful self-deceit.…	include_substantive	include_substantive	1	Scholarly book chapter analyzing Conrad's fiction and explicitly discusses critical debates about Heart of Darkness’ treatment of imperialism and cultural value, making substantive claims about the work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Heart of Darkness	Conrad, Joseph	W64570172	https://openalex.org/W64570172	Patrick Brantlinger, Rule of Darkness: British Literature and Imperialism, 1830-1914	1989	article	en	Joseph Conrad and Literature	no_exact_phrase	Patrick Brantlinger, Rule of Darkness: British Literature and Imperialism, 1830-1914. Ithaca, NY: Cornell UP, 1988. At a time when new historicism is sometimes ahistoricism, when cultural materialism is often unrelated to literary analysis, what a splendid book this is to have. Firmly grounded in ample readings in social history and everywhere informed by a matchless familiarity with Victorian literature, Brantlinger's study exemplifies cultural studies at its best and most productive. Setting…	include_substantive	include_substantive	1	Scholarly review/article that engages Conrad and imperialist discourse; it presents sustained readings of Victorian/imperialist literature and invokes Conrad's language and themes, indicating substantive critical treatment relevant to Heart of Darkness.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Great Gatsby	F. Scott Fitzgerald	W2280181585	https://openalex.org/W2280181585	An Analysis on the Maturity of Nick in The Great Gatsby	2014	article	zh	American and British Literature Analysis	title_and_abstract	Nick Carraway is one of the main characters as well as the narrator in F. Scott Fitzgerald’s The Great Gatsby. This paper applies the theory of Bildungsroman and analyzes the changes of Nick in characters, conscience as well as responsibilities from the following aspects: guides of maturity and epiphany during maturity, and reveals his ultimate maturity both physically and mentally after epiphany, thus shows the changes and maturity of him.	include_substantive	include_substantive	1	Scholarly secondary-source literary analysis that interprets and makes substantive claims about The Great Gatsby by analyzing Nick Carraway’s character development and maturity.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Great Gatsby	F. Scott Fitzgerald	W1503797969	https://openalex.org/W1503797969	Film Production Design: Case Study of The Great Gatsby	2014	article	en	Literature, Film, and Journalism Analysis	title_and_abstract	The author examined the significance of production design in film. This paper reviewed scholarly articles on the evolution of production design and applied her findings to analysis of Baz Luhrmann’s 2013 rendition of The Great Gatsby. This study revealed that accurate and creative production design is essential to success in film. Analysis of The Great Gatsby showed that production design reflected an Art Deco style, the period of 1920s, and the representation of characters in the film. Without…	include_substantive	include_substantive	1	This is a scholarly article that analyzes film production design and applies that analysis to Baz Luhrmann’s 2013 adaptation of The Great Gatsby, making substantive claims about how design choices reflect period style and enable the novel’s themes to resonate in the film.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
