quot_id	pdf_file	page_num	quot_type	word_count	ref_hint	category	text	context_before	context_after	raw_response
Bode 2023_p3_i0	Bode 2023.pdf	3	inline	9			Paratext and Genre System: A Response to Franco            Moretti	cal response            andanarticlepublishedadecadeapartinthisjournal—thatappearverydif-            ferenttotheseotheraccountsandtoeachother.KatieTrumpener’sexeget-            ical, autobiographical	concentratesonasinglearticlebyasingleauthor—FrancoMoretti’s            “Style,Inc.,”publishedinthesameissue—andevaluatesthecapacityofsta-            tistical methods to explore literature’s material a	
Bode 2023_p4_i0	Bode 2023.pdf	4	inline	8			generic designations . . . nonfiction, fiction,            mysteries,poetry	—even disappearing—            intheirpresence.                                                    Trumpenersetsthestageforsuchadisappearancewithtwopersonalan-            ecdotes. The first describes	inbookstoresas“violat[ing]theindividualityofthetext”;            thesecondrecountshermother’sattempttoencouragethefamilytolearn            Germanbyattaching“Germanlabelstoeverydayobjectsaroundthehouse	
Bode 2023_p5_i0	Bode 2023.pdf	5	inline	13			of course highlight con-            tinuities and discontinuities in a given body of data	ownexegeticalverve,”praisesMoretti’scriticalcapabil-            ities while making statistics the cause of an instrumental encounter. Else-            where, statistics are imbued with agency as they	(“PGS,” p. 170). The            problemisthusnot—ornotonly—Moretti’slackof“commitmenttospe-            cific novels”: the computational encounter leaves no one to commit and            no thing to co	
Bode 2023_p5_i1	Bode 2023.pdf	5	inline	10			a series of technical problems, logical fallacies, and conceptual flaws	utational encounter leaves no one to commit and            no thing to commit to (“PGS,” p. 164).                              DaclaimstodiscreditCLSpurelyon“anempiricallevel”byidentifying	(“CC,”p.603).Yetherdiscussionofwhetherthisorthatstudyshouldhave            included bootstrapping or used inappropriate measures or overfitted the            model are incidental to the ar	
Bode 2023_p8_i0	Bode 2023.pdf	8	inline	11			spend[s] more time browsing . . . in library or bookstore	demonstrated Moretti’s lack of            commitment before producing his disappearance, “incessant rather than            distantreading”isthepracticeofahighlypresentandcarefulsubjectwho	and embraces            effort, especially in the time-consuming practice of critical reading (“PGS,”            p.171).This“labor-intensivewaytofindanswers”entailsphysicalcloseness,            aswhe	
Bode 2023_p18_i0	Bode 2023.pdf	18	inline	13			opening up rather than glossing over the            inevitable discrepancies between representation and reality,	tual paradigm and so have an unsurprising sympathy for the refusal of            its proponents to abandon computation to instrumentalism.55 In the past,            I saw strength in its focus on	as Willard            McCarty states in his foundational book on the method.56 Now I would            say,inassumingtheinevitability ofthisgap,computationalmodelingper-            petuatesthedivision	
Chandler 2020_p9_i0	Chandler 2020.pdf	9	inline	9			So far as I was concerned at the time,	e as posing             majorproblemsforthatparadigm.Inthe1977interviewswithNewLeftRe-             view, he described what he was doing in the decade after the war in very             specific terms.	he explains, “I             wastryingtoapplypracticalcriticisminanewfield”(PL,p.193).Drama,             I’mgoingtosuggest,isashorthandtermforthatnewfield.Atthedistance             ofaquartercenturyfr	
Chandler 2020_p10_i0	Chandler 2020.pdf	10	inline	8			very definition as practice in opposition to             theory	capture,andbothpointtoLeavisastheproblemratherthanthesolution.             The first is that ideological capture might have been made inevitable by             virtue of practical criticism’s	(PL,p.193).ThefingerhereclearlypointstoLeavis,whose“oppo-             sitiontotheory”wasnotorious.21OfRichardshimself,bycontrast,Williams             concedes: “In Richards’s case, of course, it is tr	
Chandler 2020_p10_i1	Chandler 2020.pdf	10	inline	21			In Richards’s case, of course, it is true that Practical Criticism             was written directly in association with Principles of Literary Criticism	ice in opposition to             theory”(PL,p.193).ThefingerhereclearlypointstoLeavis,whose“oppo-             sitiontotheory”wasnotorious.21OfRichardshimself,bycontrast,Williams             concedes:	—             anexplicitlytheoreticalintervention(PL,p.193).Thesecondreasontohold             Leavis responsible for the ideological capture of practical criticism comes             withWilliams’sacco	
Chandler 2020_p14_i0	Chandler 2020.pdf	14	inline	12			terms, the formulations, the             morphology of ideas are properly a secondary matter.	t“thecorrectnessoftheseideasisnotatfirstinquestion;and             theirtruthisnot,atfirst,tobeassessedbytheirusefulnessinhistoricalunder-             standing or in political insight.” Even the very	What is important,             theyquoteWilliamsasstressinginthepagesofCultureandSociety,isthe“ar-             ticulatedexperience”andthe “qualityof hisdirectresponse”(quotedinPL,	
Chandler 2020_p16_i0	Chandler 2020.pdf	16	inline	14			see             where the argument would end if [he] shifted from [his] general posi-             tion	340  James Chandler / Reading Poetry, Reading Society                                                                                    sympatheticimmersionlefthimatanimpasse.Hedidnot,hereports,	—one that tended to take the Richards paradigm whole even in the             faceofmisgivings—because“onewassoconsistentlytoldthatifonemoved             fromthatpositionone movedout of contact withlit	
