quot_id	pdf_file	page_num	quot_type	word_count	ref_hint	category	text	context_before	context_after	raw_response
Ablow 2025_p2_b0	Ablow 2025.pdf	2	block	75		0	Rachel Ablow is a professor in the Department of English at the University at Buffalo, SUNY. She is the author of The Marriage of Minds: Reading Sympa- thy in the Victorian Marriage Plot ( 2007 ) and Victorian Pain ( 2017 ) and the edi- tor of The Feeling of Reading: Affective Experience and Victorian Literature ( 2010 ) and (with Catherine Robson) The Norton Anthology of English Literature: The Victorian Age ( 2024 ).	,Empathy,andPornography(NewYork,2002),p.273. 4. See,forexample,CoraKaplan,“BlackHeroes/WhiteWriters:ToussaintL’Ouverture andtheLiteraryImagination,”HistoryWorkshopJournal46(Autumn1998):33–62;Caroline	Department of English at the University at Buffalo, SUNY. She is the author of The Marriage of Minds: Reading Sympa- thy in the Victorian Marriage Plot (2007) and Victorian Pain (2017) and the edi- to	"A

**理由**：
この引"
Ablow 2025_p2_i1	Ablow 2025.pdf	2	inline	23		C	in a moment, she formed a resolve which she never broke,—never again to seek to know that which Papalier now refused to tell.	lay the blame on me, my dear; for, as I told you, I permitted the deed.Itwasnecessary.Ourlivesdependedonit.’”Thérèse is“agonisedby suspicionsastowhosehanditwasbywhichherchildhaddied.”Neverthe- less,	Although the novel never explicitly identifies Toussaint as responsible for the child’s death,itisdifficulttoimagineanyotherwaytoaccountforbothThérèse’s disquietat“thenewdoubtsthathadarisen”inthewake	C
Ablow 2025_p2_i2	Ablow 2025.pdf	2	inline	8	(H, p. 34)	C	‘These sad accidents will happen at such times,’	fromseekingthetruthofwhatex- actlyhappenedtoherchild(H,p.303). The death is clearly described as horrifying, and the reader is encour- aged to condemn Papalier for his callous acceptance of the loss.	he tells Thérèse (H, p. 34). Yet at the same time, there is no suggestion in the text that Toussaint should becondemnedforhisact.Asnumerouscriticshaveobserved—andsome have complained—The Hour and the	"C

この引用は小説の本"
Ablow 2025_p2_i3	Ablow 2025.pdf	2	inline	8		C	impersonation of Duty—of noble purposes and lofty thoughts.	ondemnedforhisact.Asnumerouscriticshaveobserved—andsome have complained—The Hour and the Man has nothing but praise for its centralcharacter.Asoneearlyreviewerwrote,inToussaint,Martineaupro- vides an	The consequence is to make him seem “above nature and humanity—the merecreatureoftheimagination.”2MarcusWood’smorerecentassessment isstillharsher:Martineau’sgoal,hewrites,wasto“createinToussaintare-	C
Ablow 2025_p2_i4	Ablow 2025.pdf	2	inline	21		A	regarding the slave’s ability to live with freedom. . . . What emerges is a walking lecture rather than a character.	”2MarcusWood’smorerecentassessment isstillharsher:Martineau’sgoal,hewrites,wasto“createinToussaintare- assuring picture of the slave revolutionary as agonized Christian Stoic” in order to allay fears	3 Regardless of thetermsused,thecriticalconsensusisthatTheHourandtheManisanun- ambiguous celebration of Toussaint’s character and achievement intended toenlistsupportfortheabolitionistcauseintheUnited	"A

この引用は、MARCUS WOOD"
Ablow 2025_p7_i1	Ablow 2025.pdf	7	inline	9		A	the anti-slavery cause . . . [as her] vocation,	rnals.Thevolumeweighsin atover350pagesandyetforspaceconstraintsomitstheanti-slaveryDeme- rara(1832)aswellasTheHourandtheMan.20AsMartineauexplainsinher Autobiography, at one point in her life, she saw	which she was sadly prevented from pursuing by her “clearcourseofduty...athome”:herneedtocareforherelderlymother prevented her from returning to the United States to continue this work.21 WritingTheH	"A

この引用は、マルティ"
Ablow 2025_p9_i1	Ablow 2025.pdf	9	inline	8		C	the vengeance of the whites and mulat- toes	edwithoutrespect,ifnotenthusiasm”:theyarefree butnottoofree.Itisnotwhollyclearwho“they”are,however—thesemen whocomedownfromthehills—forifatthebeginningofthepassagethey include only those whofled both	and“theviolence”ofJeanFrançais’s“negroforce,”bytheendtheyin- clude,too,theignorantwhoare“proud”ofToussaint’slearning,theheathen whoneverthelessrespectshis“piety,”andthe“blackbandit”who“feastedhis earw	C
Ablow 2025_p11_i1	Ablow 2025.pdf	11	inline	13	(H,p.131)	C	‘Oh,grandpapa,you don’t mean that those nuns are of my complexion! Poor pale creatures!’	pring 2025 525 race.Thefirsttimeweencounterher,forexample,shecorrectshergrand- father’s bigotry: when he threatens to send her to a convent to ensure she makes“friendsof[her]owncomplexion,”shereplies,	(H,p.131).Incasewemissedthepoint,thisconversationisrepeatedinslightly different terms later on. When she explains that she wishes Toussaint to know“‘thatthereisalittleCreolegirlwhoisverygratefultohim	"C

この引用はシングルク"
Ablow 2025_p12_i1	Ablow 2025.pdf	12	inline	8		A	The massacre of the whites was a tragedy,	l[thewhitepeopleon theisland]witheverypossiblebrutality.AfterthefirstslaughterDessalines issued a proclamation promising pardon to all who were in hiding. They came out, and were immediately killed.”	James continues; “not for the whites. . . . The tragedy was for the blacks and the Mulattoes. It was not policy but revenge, and revenge has no place in politics.”26 Many historians have pointed to t	A
Ablow 2025_p12_i2	Ablow 2025.pdf	12	inline	29		A	not for the whites. . . . The tragedy was for the blacks and the Mulattoes. It was not policy but revenge, and revenge has no place in politics.	thefirstslaughterDessalines issued a proclamation promising pardon to all who were in hiding. They came out, and were immediately killed.” “The massacre of the whites was a tragedy,” James continues;	26 Many historians have pointed to this series of eventsasservingbothtoisolateHaiti(James’scentralconcern)andtojustify the anxiety of many white observers that revenge might necessarily follow aboliti	"A

この引用は歴史家"
