filename	sent_idx	sentence
Ablow 2025.pdf	0	"Revenge Tragedy: Harriet Martineau, the Haitian Revolution, and Reparations Rachel Ablow EarlyoninHarrietMartineau's""HistoricalRomance""oftheHaitianRev- olution,TheHourandtheMan(1841),ababyiskilled.1 The revolutionhas justbegun,andtheheroofthenovel,ToussaintL'Ouverture,isleadinghis family, along with some neighbors, to safety."
Ablow 2025.pdf	1	Hearing people approaching, thegrouphidesinarecessneartheroadandwaitsforthemtopassby.
Ablow 2025.pdf	2	Theywerenowverynear.WhetheritwasthatThérèse,infearofher infantcrying,presseditsoclosetoherbosomastoawakenit,or whethertherumblingandtrampingalongtheroadrouseditssleeping ear,—thechildstirred,andbeganwhatpromisedtobealongshrill wawl,ifithadnotbeenstopped.Howitwasstopped,thetrembling, sickeningmotherherselfdidnotknow.Sheonlyknewthatastrong handwrenchedthechildfromhergraspintheblackdarkness,andthat allwasstill,unless,asshethenandeverafterhadashudderingappre- hension,therewassomethingofaslightgurgle
Ablow 2025.pdf	3	"Papalier, will notallowhertoremainbehindtocontinuehersearch.""'Itwasyourchild,'"" sheremindshim.""'Andyouaremine,too,mydear,'""Papalierresponds.""'I cannotspareyouboth'""(H,p.34).Wedonotlearnthefateofthechilduntil severalhundredpageslater,whenThérèseispersuadedbyToussainttotend to Papalier on his deathbed."
Ablow 2025.pdf	4	"""'I swore long ago that I would not tell [who 1."
Ablow 2025.pdf	5	SeeHarrietMartineau,TheHourandtheMan:AHistoricalRomance(NewYork,1856), p.34;hereafterabbreviatedH.
Ablow 2025.pdf	6	"516 Rachel Ablow / Revenge Tragedy didit];andIneverwill'""Papaliertellsherwhenshedemandsthetruth:""'But you may lay the blame on me, my dear; for, as I told you, I permitted the deed.Itwasnecessary.Ourlivesdependedonit.'""Thérèse is""agonisedby suspicionsastowhosehanditwasbywhichherchildhaddied.""Neverthe- less, ""in a moment, she formed a resolve which she never broke,—never again to seek to know that which Papalier now refused to tell."" Although the novel never explicitly identifies Toussaint as res"
Ablow 2025.pdf	7	The death is clearly described as horrifying, and the reader is encour- aged to condemn Papalier for his callous acceptance of the loss.
Ablow 2025.pdf	8	"""'These sad accidents will happen at such times,'"" he tells Thérèse (H, p."
Ablow 2025.pdf	10	"Yet at the same time, there is no suggestion in the text that Toussaint should becondemnedforhisact.Asnumerouscriticshaveobserved—andsome have complained—The Hour and the Man has nothing but praise for its centralcharacter.Asoneearlyreviewerwrote,inToussaint,Martineaupro- vides an ""impersonation of Duty—of noble purposes and lofty thoughts."" The consequence is to make him seem ""above nature and humanity—the merecreatureoftheimagination.""2MarcusWood'smorerecentassessment isstillharsher:Martineau'"
Abu-Lughod 2020.pdf	0	' Imagining Palestine s Alter-Natives: Settler Colonialism and Museum Politics Lila Abu-Lughod Settler colonialism has arrived.
Abu-Lughod 2020.pdf	1	"The productive power of the paradigm wasmarkedbythe2011launchofSettlerColonialStudies.Thecentralityof thequestionofPalestinefromthestartisevidentinthemanyforumsand articlesthathavesince appeared inthis journal,theearliest being aforum edited by four emerging scholars who were then graduate students.1 The conversation they started about the frame of ""settler colonialism"" in Pal- estinian studies continues to this day as it is unpacked and interrogated.2 Thisessaybeganlifeasthe2015EdwardSaidMemori"
Abu-Lughod 2020.pdf	2	Mitchell,sharpenedmyarguments.
Abu-Lughod 2020.pdf	4	"See""PastisPresent:SettlerColonialisminPalestine,""aspecialissueofSettlerColonial Studies2,no.1(2012).OmarJabarySalamanca,MeznaQato,KareemRabie,andSobhiSamour editedthevolumebasedonaconferenceattheSchoolofOrientalandAfricanStudies(SOAS) UniversityofLondon.TheissueincludedanArabictranslationofafield-defining2006essay byPatrickWolfe;seePatrickWolfe,""ArabicTranslation:SettlerColonialismandtheElimina- tionoftheNative(2006),""trans.DaliaTaha,SettlerColonialStudies2,no.1(2012):226–52.It alsoincludedarema"
Abu-Lughod 2020.pdf	6	"SeeNadimN.RouhanaandAreejSabbagh-Khoury,""Settler-ColonialCitizenship:Con- ceptualizingtheRelationshipbetweenIsraelanditsPalestinianCitizens,""SettlerColonialStudies5, 2 Lila Abu-Lughod / Imagining Palestine's Alter-Natives Iwaspuzzledinitiallybythisexplosionofthinkingandwritingaboutset- tler colonialism, struck by the apparent historical amnesia of the scholars analyzingIsrael/Palestineinthesenovelterms.Afterall,MaximeRodinson's bookwas calledIsrael: ASettlerColonial State?(translatedin1973 into "
Abu-Lughod 2020.pdf	7	"In the same year, the theme of the annual convention of the Arab- AmericanUniversityGraduates(AAUG)was""NationalLiberationandSet- tlerRegimes.""Myfather, Ibrahim Abu-Lughod, aPalestinian scholarwho since1967hadalsobeenassociatedirectoroftheprograminAfricanStudies atNorthwestern,wasoneoftheorganizers.Wit"
Adams 2021.pdf	0	Anticipatory Care Carol J.
Adams 2021.pdf	1	"Adams 5 April 2020 I'vebeentalkingtomydogsmorefrequentlythesedaysbecause,asItell them,theyhavenoideaaboutthecoronavirus pandemic oratleastaren't communicatingtheirthoughtsabouttheissuetome.Today,Inkytheres- cuedMinpinlayonthepenultimatesteptothesecondfloorasIleanedover to address him on this subject; ""You don't know anything about this, do you?""Hewasbarelycommittedtotheconversation.AsIrubbedhisback, I thought about a recent call from my sister."
Adams 2021.pdf	2	"She had called to urge me to setupasickroominourhouse,now.Now,shedirected,beforeeithermy partnerorIfellillwiththevirus.Shelisteditemstoputintheroom(extra sheets and towels, cleaning supplies), the tasks of preparation we should donow.Idutifullywrotethelistdownbutfoundthatwhenshesaid""and clear off all surfaces, now,"" I stopped."
Adams 2021.pdf	3	Perhaps we have more tchotchkes thanmost,buttheideaofclearingoffallthesurfacesofthedesignatedsick- roomseemedgoingtoofar.
Adams 2021.pdf	4	The fault line between the real and the imagined threat of coronavirus couldbefoundrightthere—WillIdosomethingaboutthosesurfacespop- ulatedwithitems?Theideaisthatifyouremovethemnow,thentherewould be fewer surfaces that might contain the virus to wipe down if someone be- cameillwiththedisease.Ishouldhavebeenthinkingoftherealpossibilities oftheneedsofanillperson.Assomeonewhoprovidedcaretoothers,shouldn't Ihavetraversedthespacebetweentherealandthepossiblemoreeasily?A quick read of Jessica Lustig's 
Adams 2021.pdf	5	"SeeJessicaLustig,""WhatILearnedWhenMyHusbandGotSickwithCoronavirus,""New YorkTimes,24Mar.2020,www.nytimes.com/2020/03/24/magazine/coronavirus-family.html ofcaregivingforourparentsthatmysistersandIshared,followingwhatI called""theruleofthegooddaughter,""2andherewasthefirsttestofwhata postparental caregiving situation might require."
Adams 2021.pdf	7	"My sister continued, ""Don't shake out the dirty clothes before washing them.""Who,Iwondered,shakesoutclothesbeforewashingthemanyway?"
Adams 2021.pdf	8	"Butsuchaspecificimage,thesickperson'sclothes,theneedtowashthem, theneedtowashyourownclothesaftertendingthesickperson,theperson standinginfrontofthewashingmachine,seemedtobridgetherealandthe possiblewithurgency.Shesaid,""YouneedaplanB,yougetsick,andplanC thepersonyoulivewithgetssick.""Shewasurgingwhatwemightcallan- ticipatory care."
Adams 2021.pdf	9	Of professional caregiving, in crisis because of federal inac- tion, an eviscerated health care system, and the absence of needed equip- ment, there is not much we individually can do—unless we are sewing masks,anineteenth-centuryanswerinatwenty-first-centuryworld.Forcol- lective caregiving, our responsibility is clear—flatten the curve.
Adams 2021.pdf	10	"Personal caregiving such as Lustig describes (Advil in a plastic dish, doing laundry, tryingtogetherhusbandtoeatsomething,wipingdowntheshower,switches, faucets,well...everywhere)islearnedintheworkofit.Thereports,suchas Lustig's may awaken us to anticipatory care—this practical work of thinking about""Whatifthevirusstrike"
Al-Bahloly 2020.pdf	0	The Migration of a Form: An Ancient Concept of Justice Resurfaces in the Modern Artwork Saleem Al-Bahloly Inthesoulofmanthereisajusticewhose retributionsareinstant andentire.
Al-Bahloly 2020.pdf	1	–Ralph WaldoEmerson1 Al-Husaynwasnothingmorethan thecryofTruth...for hisrevoltrenewsinthe souls[ofbelievers] thespirit oftrue devotion andintegrity,relieving them ofthe weightofinjustice andoppression.
Al-Bahloly 2020.pdf	2	–Hibaal-Din al-Shahrastani2 Ihaveusedsimilitudes.
Al-Bahloly 2020.pdf	3	"–Hosea 12:10 Theysay,""WehavekilledJesustheMessiah,sonofMary,messengerofGod.""Andthey didnotkillnordidtheycrucifyhimbutrathertheykilledandcrucifiedasemblance."
Al-Bahloly 2020.pdf	4	–Sūratal-Nisāʾ4:157 Intheyearsfollowingeventsthat,betweenFebruaryandNovember1963, ledtoameltdownofpoliticallife,anewkindofartpracticeappearedinBagh- dad.Gallerieswereopening,andtheirwallswerehungwithpaintingsand printsthatdidnottrytorepresentthesocialworldasartistshaddoneinthe 1950s.Theworksthatstartedtoappearwereinsteadturnedinward,inanat- tempttoarticulateaninner state.Thepublicspherethathadformedover theprecedingdecadescontracted,andanewrealmofindividualexperience emergedinitsplace.Itmaynotbe
Al-Bahloly 2020.pdf	5	Unlessotherwisenoted,alltranslationsaremyown.
Al-Bahloly 2020.pdf	7	"RalphWaldoEmerson,""AnAddress,""inTheEssentialWritingsofRalphWaldoEmerson, ed.BrooksAtkinson(NewYork,2000),p.64."
Al-Bahloly 2020.pdf	9	Hibatal-Dīnal-H(cid:1)usaynīal-Shahrastānī,Nahdạtal-H(cid:1)usayn(1925;Karbala,1969),pp.47– 48;hereafterabbreviatedN.
Al-Bahloly 2020.pdf	10	"Correction:Aftertheissuewenttopress,""word""waschangedto""concept""inthesecondparagraph onp.90."
Al-Bahloly 2020.pdf	11	formulationofwhatwemightcallagrammarofexperience,wassingularbe- cause it was initiated by the reactivation of an ancient political concept that linkedjusticetoastateof mind.
Al-Bahloly 2020.pdf	12	This concept appeared, on the literary page of newspapers where ex- hibitionswerereviewed,underthewordtruth(al-hạ qīqa).Itcanbetraced toatheoryofgovernanceintheQurʾan,butitacquireditsdefinitivechar- acterasastateofmindinthetenthcentury,whenamysticaltraditionformed around the cultivation of inner states (ahẉ āl) and when the cultivation of thosestateswaspoliticizedbyaconfrontationoverspiritualauthoritythat eruptedbetweenthecaliphont
Alff 2021.pdf	0	"Make Way for Infrastructure David Alff In1694,theYorkshirelawyerGeorgeMeritonpenneda""littlemethodical Pocket-Book""toacquaintroadsurveyorswiththeirduties.1Thisguideopens bydefininghighwaysin""ourLaw-Language""as""transitusalocoadlocum,the passagefromoneplacetoanother""(G,pp.1,2).Shouldaroadsurfacegrow ""foundrousandbad,""Meritonexplains,travelersmaydetouroveradjacent land""fortheKingsSubjectsoughttohaveagoodPassage,andgoodPassage istheWay,andnotonlythebeatenTrack""(G,pp.5,6).Meriton'sglossdis- tinguishes"
Alff 2021.pdf	1	Brian Larkin defines IamgratefultoThomasLeonard-Roy,DeidreShaunaLynch,StephanieDeGooyer,andthe HarvardEighteenthCenturyandRomanticismColloquiumfortheopportunitytosharean earlydraftofthisessay.ThankyoutoJamesMulholland,HeatherKeenleyside,andtheentire 1.
Alff 2021.pdf	2	GeorgeMeriton,AGuidetoSurveyorsoftheHigh-Ways(London,1694),p.A4v;hereafter abbreviatedG.
Alff 2021.pdf	4	AndrewMcRae,LiteratureandDomesticTravelinEarlyModernEngland(NewYork, 2009),p.118.
Alff 2021.pdf	6	Meriton'sargumentwouldinfluencescoresoflaterlegalwriters,andrecirculateverbatim inpopulartreatiseslikeWilliamHawkins'sATreatiseofthePleasoftheCrown,2vols.(Lon- don,1716),1:201,andRichardBurn'sJusticeofthePeace,andParishOfficer,4vols.(London, 1793),2:500.
Alff 2021.pdf	7	"626 David Alff / Make Way for Infrastructure infrastructureasthingsandtherelationsthatbindthem:""matterthatenable themovementofothermatter""and""objectsthatcreatethegroundsonwhich otherobjectsoperate.""4NikhilAnand,AkhilGupta,andHannahAppeltrace infrastructuretotheoperativeintervalsthatgeneraterelation,""spatiotempo- ral projects"" that stockpile and exhaust combinatorial potential.5 Penny Harveycallsinfrastructure'shappening""assemblage,""thetamingof""un- stable and noncoherent gatherings of heterogeneo"
Alloa 2021.pdf	0	Coronavirus: A Contingency that Eliminates Contingency Emmanuel Alloa 20 April 2020 Themechanismissadlyfamiliar:eachcrisishasitsdesignatedculprits.For thesovereigntists,thispandemicistobeblamedonderegulatedbordercross- ings; for the anticommunists, it is the negligence of a Chinese government that would rather see its citizens die than assume its hazardous initial re- sponse;forconspiracytheoristsstill,itisanAmericanchemicalweaponover whichsecretserviceshavelostcontrol.Whilecollapsologyisrejoici
Alloa 2021.pdf	1	What is remarkable in this range of reactions is the tone of certainty that comes with their verdict.
Alloa 2021.pdf	2	This is even more striking when one reads the explanations put forward by some leading intellectuals.
Alloa 2021.pdf	3	Many of them seemtobelittleshakenbywhatishappeningtous,soeageraretheytoex- plaintousthateverythingtheyhavebeensayingforyearshasthusprovedto beright.Wefindourselvesenvyingtheirconfidence.Indeed,everythingwould besimplerifwecouldblamethecoronavirusoneitherfinancialcapitalismor biopolitical states of exception.
Alloa 2021.pdf	4	One would almost catch oneself, in moments ofshameforbelongingtothehumanrace,dreamingofamasochisticrevenge onplanetEarth,asifGaiawerefinallymakingHomosapienspayforallthatit S74 Emmanuel Alloa / Coronavirus hasinflictedontheplanetforcenturies.Infact,doesn'ttheworldstrangely resemblethosepostapocalypticscenariosthatHollywoodhasfeduswithin itscatastrophe movies, with spectral-lookingmetropolises and depopulated urban arteries?
Alloa 2021.pdf	5	In a reverse movement, as if in Disney's old documentary TheLivingDesert(dir.JamesAlgar,1953)onhowliferegainstheupperhand eveninthemosthostileenvironments,today,itlooksasifnaturewasrecol- onizingtheterritoriesleftunoccupiedbecauseofthelockdown.InGreece,it isfinwhalesthatareonceagainventuringintotheharbors,inChile,pumas comedownfromtheCordilleratofeedinthecitycenters,whileinVenice, thelagoonwatersunperturbedbycruiseshipsendupbecomingcrystalclear again.
Alloa 2021.pdf	6	The true meaning of the coronavirus crisis would therefore be this one, its urgent ecological message, an uppercut jabbed by Mother Nature, toallthosewhodidnotwanttolistentothealarmbellsrepeatedlysounded, from André Gorz to Greta Thunberg.
Alloa 2021.pdf	7	Howsimpleitwouldbeifwewereabletoprovideaneasyexplanationto this crisis that would win our immediate support, if only so that we could then do repentance, alone or on a planetary scale.
Alloa 2021.pdf	8	No wonder, then, that the etiological machine is running at full throttle; great crises are above all ordeals of sense, and in the absence of visibility, it is easier to take refuge incomfortingstories—evenwhenthesehavedo
Arnaud 2021.pdf	0	""" "" Garments of Thought : Writing Signs and the Critique of Logocentrism Sabine Arnaud If,whilestayinginaforeigncountry,inConstantinopleforexampleorinPersia,you wantedtodressinthenationalcostume,wouldtheartisanyouwouldcallforworry abouttheshapeofyourFrenchgarment?Wouldhecountthenumberofitsdifferent pieces?Wouldheconsideranythingotherthanyoursizeandtheproportionsofyour body?...Imitatehim:wordsandsignsarethesimplegarmentsofthought.1 With this anecdote, Rémi Valade introduced Essai sur la grammaire"
